14-Digit PIN #,Street Number,Dir.,Street Name,Type,Sq. Ft.,Ward,Community Area,Zoning Classification,TIF District,Location
10-36-228-040-0000,6810,N,ROCKWELL,ST,212,50,WEST RIDGE,RS-3,NOT IN TIF,"6810 N ROCKWELL ST
CHICAGO, IL
(42.005205, -87.694961)"
10-36-228-041-0000,6810,N,ROCKWELL,ST,294,50,WEST RIDGE,RS-3,NOT IN TIF,"6810 N ROCKWELL ST
CHICAGO, IL
(42.005205, -87.694961)"
10-36-325-011-0000,6444,N,FRANCISCO,,4052,50,WEST RIDGE,RT-4,NOT IN TIF,"6444 N FRANCISCO
CHICAGO, IL
(41.998513, -87.702138)"
10-36-416-042-0000,6543,N,CALIFORNIA,AV,246,50,WEST RIDGE,RS-3,NOT IN TIF,"6543 N CALIFORNIA AV
CHICAGO, IL
(42.000152, -87.699726)"
11-29-105-019-0000,7611,N,ASHLAND,AVE,38381,49,ROGERS PARK,POS-2,NOT IN TIF,"7611 N ASHLAND AVE
CHICAGO, IL
(42.02058, -87.67061)"
11-29-315-009-0000,1201,W,JARVIS,AVE,15840,49,ROGERS PARK,POS-2,NOT IN TIF,"1201 W JARVIS AVE
CHICAGO, IL
(42.016144, -87.662778)"
11-30-205-003-0000,1800,W,JUNEWAY,TER,9627,49,ROGERS PARK,B1-1,NOT IN TIF,"1800 W JUNEWAY TER
CHICAGO, IL
(42.02241, -87.674095)"
11-30-404-024-0000,7500,N,ASHLAND,AVE,1389,49,ROGERS PARK,C1-3,NOT IN TIF,"7500 N ASHLAND AVE
CHICAGO, IL
(42.018296, -87.671348)"
11-30-405-001-0000,1601,W,HOWARD,,13791,49,ROGERS PARK,B3-5,NOT IN TIF,"1601 W HOWARD
CHICAGO, IL
(42.019396, -87.671373)"
11-31-212-009-0000,1721,W,GREENLEAF,AVE,8934,49,ROGERS PARK,RT-4,NOT IN TIF,"1721 W GREENLEAF AVE
CHICAGO, IL
(42.010244, -87.673217)"
11-32-327-033-0000,6452,N,GLENWOOD,AVE,18492,49,ROGERS PARK,RS-3,NOT IN TIF,"6452 N GLENWOOD AVE
CHICAGO, IL
(41.999159, -87.665509)"
11-32-400-016-0000,1040,W,COLUMBIA,AVE,9166,49,ROGERS PARK,RT-4,NOT IN TIF,"1040 W COLUMBIA AVE
CHICAGO, IL
(42.00464, -87.658287)"
11-32-400-034-0000,1064,W,COLUMBIA,AVE,2144,49,ROGERS PARK,RT-4,NOT IN TIF,"1064 W COLUMBIA AVE
CHICAGO, IL
(42.004639, -87.658498)"
11-32-401-040-0000,1040,W,NORTH SHORE,AVE,8050,49,ROGERS PARK,POS-2,NOT IN TIF,"1040 W NORTH SHORE AVE
CHICAGO, IL
(42.003745, -87.657942)"
